>198, dA[0.047,0.031] dB[0.123,0.051] g[6.067,7.481]
>199, dA[0.040,0.078] dB[0.031,0.091] g[5.513,7.405]
>200, dA[0.142,0.132] dB[0.044,0.049] g[5.617,8.040]
>201, dA[0.224,0.084] dB[0.047,0.160] g[4.056,5.376]
>202, dA[0.123,0.260] dB[0.089,0.138] g[4.103,4.726]
>203, dA[0.083,0.171] dB[0.151,0.100] g[9.926,9.511]
>204, dA[0.064,0.182] dB[0.136,0.071] g[8.007,8.791]
>205, dA[0.387,0.095] dB[0.197,0.046] g[4.764,6.252]
>206, dA[0.427,0.251] dB[0.091,0.570] g[3.354,4.835]
>207, dA[0.113,0.123] dB[0.293,0.199] g[4.409,5.546]
>208, dA[0.087,0.065] dB[0.165,0.122] g[5.189,5.387]
>209, dA[0.052,0.041] dB[0.137,0.137] g[7.395,8.478]
>210, dA[0.040,0.029] dB[0.118,0.190] g[4.666,5.728]
>211, dA[0.054,0.029] dB[0.109,0.094] g[6.458,8.255]
>212, dA[0.266,0.051] dB[0.066,0.114] g[3.555,4.695]
>213, dA[0.172,0.123] dB[0.081,0.171] g[5.334,6.398]
>214, dA[0.072,0.118] dB[0.130,0.175] g[4.802,5.304]
>215, dA[0.063,0.025] dB[0.095,0.078] g[6.076,8.251]
>216, dA[0.197,0.029] dB[0.148,0.168] g[3.903,5.083]
>217, dA[0.054,0.052] dB[0.155,0.062] g[3.752,3.893]
>218, dA[0.058,0.074] dB[0.154,0.225] g[5.721,7.256]
>219, dA[0.083,0.069] dB[0.132,0.088] g[4.999,6.702]
>220, dA[0.040,0.053] dB[0.034,0.210] g[5.048,7.270]
>221, dA[0.031,0.133] dB[0.163,0.119] g[4.085,4.552]
>222, dA[0.042,0.065] dB[0.114,0.147] g[4.446,6.077]
>223, dA[0.056,0.023] dB[0.181,0.123] g[7.818,10.243]
>224, dA[0.025,0.071] dB[0.144,0.168] g[4.089,5.694]
>225, dA[0.177,0.133] dB[0.268,0.111] g[3.876,4.793]
>226, dA[0.121,0.171] dB[0.167,0.287] g[5.108,6.241]
>227, dA[0.022,0.071] dB[0.168,0.074] g[6.275,7.663]
>228, dA[0.255,0.187] dB[0.189,0.086] g[3.185,3.996]
>229, dA[0.026,0.108] dB[0.040,0.061] g[5.359,6.854]
>230, dA[0.306,0.190] dB[0.031,0.267] g[4.488,5.817]
>231, dA[0.395,0.086] dB[0.173,0.177] g[3.793,4.268]
>232, dA[0.103,0.036] dB[0.195,0.048] g[6.405,7.237]
>233, dA[0.120,0.210] dB[0.156,0.270] g[5.435,7.444]
>234, dA[0.185,0.091] dB[0.146,0.238] g[4.581,5.224]
>235, dA[0.052,0.131] dB[0.095,0.046] g[3.860,4.724]
>236, dA[0.056,0.095] dB[0.095,0.041] g[7.249,8.556]
>237, dA[0.393,0.122] dB[0.104,0.077] g[4.178,5.775]
>238, dA[0.131,0.165] dB[0.018,0.289] g[5.060,6.550]
>239, dA[0.256,0.334] dB[0.045,0.290] g[3.110,4.293]
>240, dA[0.056,0.115] dB[0.108,0.035] g[6.595,9.377]
>241, dA[0.204,0.130] dB[0.245,0.302] g[6.246,8.001]
>242, dA[0.218,0.293] dB[0.043,0.113] g[4.862,6.630]
>243, dA[0.057,0.082] dB[0.229,0.083] g[4.823,5.863]
>244, dA[0.092,0.045] dB[0.097,0.248] g[5.267,6.429]
